"id","sequence","name","amount","amount_type","type_tax_use","tax_group_id:id","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id:id","description","invoice_label"
"co_com_tax_rtefte_0_5gt",1,"0.5% RteFte P","-0.5","percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Sale Coffee (-0.5%).","-0.5%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_0_5lt",1,"0.5% RteFte P","-0.5","percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Buy Coffee (-0.5%).","-0.5%"
,,,,,,,,,"tax","invoice","co_com_puc_236540",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236540",,
"co_com_tax_rtefte_1gt",1,"1% RteFte V",-1,"percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Real Estate Purchases (-1%)","-1%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_1lt",1,"1% RteFte P",-1,"percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Real Estate Purchases (-1%)","-1%"
,,,,,,,,,"tax","invoice","co_com_puc_236540",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236540",,
"co_com_tax_rtefte_1_5gt",1,"1.5% RteFte P","-1.5","percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Sales of Agricultural Goods (-1.5%)","-1.5%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_1_5lt",1,"1.5% RteFte P","-1.5","percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Purchases of Agricultural Goods (-1.5%)","-1.5%"
,,,,,,,,,"tax","invoice","co_com_puc_236540",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236540",,
"co_com_tax_rtefte_2gt",1,"2% RteFte V",-2,"percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Surveillance and Cleaning Service (Over AIU) (-2%)","-2%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_2lt",1,"2% RteFte P",-2,"percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Surveillance and Cleaning Service (Over AIU) (-2%)","-2%"
,,,,,,,,,"tax","invoice","co_com_puc_236525",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236525",,
"co_com_tax_rtefte_2_5gt",1,"2.5% RteFte S","-2.5","percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte -2.5% Sales","-2.5%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_2_5lt",1,"2.5% RteFte P","-2.5","percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Purchases Declarants (-2.5%)","-2.5%"
,,,,,,,,,"tax","invoice","co_com_puc_236540",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236540",,
"co_com_tax_rtefte_3_5gt",1,"3.50% RteFte S","-3.5","percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte -3.50% Sales","-3.5%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_3_5lt",1,"3.50% RteFte V","-3.5","percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte -3.50% Purchase","-3.5%"
,,,,,,,,,"tax","invoice","co_com_puc_236540",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236540",,
"co_com_tax_rtefte_4gt",1,"4% RteFte P",-4,"percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Services P Legal and PN Declarant (-4%) ","-4%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_4lt",1,"4% RteFte P",-4,"percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Services P Legal and PN Declarant (-4%) ","-4%"
,,,,,,,,,"tax","invoice","co_com_puc_236525",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236525",,
"co_com_tax_rtefte_6gt",1,"6% RteFte S",-6,"percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Leasehold Leases Movable Property (-6%)","-6%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_6lt",1,"6% RteFte P",-6,"percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Services in General Individuals Not Filing Income Tax Returns (-6%)","-6%"
,,,,,,,,,"tax","invoice","co_com_puc_236525",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236525",,
"co_com_tax_rtefte_7gt",1,"7% RteFte S",-7,"percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Leasehold Leases Movable Property (-7%)","-7%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_7lt",1,"7% RteFte P",-7,"percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte General Financial Income (-7%) ","-7%"
,,,,,,,,,"tax","invoice","co_com_puc_236535",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236535",,
"co_com_tax_rtefte_10gt",1,"10% RteFte S",-10,"percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Commissions Natural Person (-10%)","-10%"
,,,,,,,,,"tax","invoice","co_com_puc_135515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135515",,
"co_com_tax_rtefte_10lt",1,"10% RteFte P",-10,"percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Commissions Natural Person (-10%)","-10%"
,,,,,,,,,"tax","invoice","co_com_puc_236520",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236520",,
"co_com_tax_rtefte_11gt",1,"11% RteFte S",-11,"percent","sale","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Fees Natural Person (-11%)","-10%"
,,,,,,,,,"tax","invoice","co_com_puc_236515",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236515",,
"co_com_tax_rtefte_11lt",1,"11% RteFte P",-11,"percent","purchase","co_com_tax_group_rtefte_08",,,"base","invoice",,"RteFte Commissions Legal Entity (-11%) ","-11%"
,,,,,,,,,"tax","invoice","co_com_puc_236520",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236520",,
"co_com_tax_rteica_0gt",1,"0% RteIca S",0,"percent","sale","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca","0%"
,,,,,,,,,"tax","invoice",,,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund",,,
"co_com_tax_rteica_0lt",1,"0% RteIca P",0,"percent","purchase","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca","0%"
,,,,,,,,,"tax","invoice",,,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund",,,
"co_com_tax_rteica_0_414gt",1,"0.414% RteIca S",-414,"percent","sale","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca -0.414% Sales","-0.414%"
,,,,,,,,,"tax","invoice","co_com_puc_135518",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135518",,
"co_com_tax_rteica_0_414lt",1,"0.414% RteIca P",-414,"percent","purchase","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca (-0.414%)","-0.414%"
,,,,,,,,,"tax","invoice","co_com_puc_236800",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236800",,
"co_com_tax_rteica_0_69gt",1,"0.69% RteIca S","-0.69","percent","sale","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca (-0.69%)","-0.69%"
,,,,,,,,,"tax","invoice","co_com_puc_135518",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135518",,
"co_com_tax_rteica_0_69lt",1,"0.69% RteIca P","-0.69","percent","purchase","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca (-0.69%)","-0.69%"
,,,,,,,,,"tax","invoice","co_com_puc_236800",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236800",,
"co_com_tax_rteica_0_966gt",1,"0.966% RteIca S",-966,"percent","sale","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca (-0.966%)","-0.966%"
,,,,,,,,,"tax","invoice","co_com_puc_135518",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135518",,
"co_com_tax_rteica_0_966lt",1,"0.966% RteIca P",-966,"percent","purchase","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca (-0.966%)","-0.966%"
,,,,,,,,,"tax","invoice","co_com_puc_236800",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236800",,
"co_com_tax_rteica_1_104gt",1,"1.104% RteIca S",-1104,"percent","sale","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca (-1.104%)","-1.104%"
,,,,,,,,,"tax","invoice","co_com_puc_135518",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135518",,
"co_com_tax_rteica_1_104lt",1,"1.104% RteIca P",-1104,"percent","purchase","co_com_tax_group_rteica_07",,,"base","invoice",,"RteIca (-1.104%)","-1.104%"
,,,,,,,,,"tax","invoice","co_com_puc_236800",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236800",,
"co_com_tax_rteica_1_38gt",1,"1.38% RteIca S","-1.38","percent","sale","co_com_tax_group_rteica_07",,,"base","invoice",,"RteICA (-1.38%)","-1.38%"
,,,,,,,,,"tax","invoice","co_com_puc_135518",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_135518",,
"co_com_tax_rteica_1_38lt",1,"1.38% RteIca P","-1.38","percent","purchase","co_com_tax_group_rteica_07",,,"base","invoice",,"RteICA (-1.38%)","-1.38%"
,,,,,,,,,"tax","invoice","co_com_puc_236800",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_236800",,
"co_com_tax_biecub_0gt",1,"0% CovAsset S",0,"percent","sale","co_com_tax_group_otro_zz",,,"base","invoice",,"Covered Assets","0%"
,,,,,,,,,"tax","invoice",,,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund",,,
