"id","ei_code","ei_big_contribuitor","name","tax_ids/tax_src_id:name","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
,,,,"4% RteFte L L",,,
,,,,"3.5% RteFte IMMO L",,,
,,,,"7% RteFte G F",,,
,,,,"10% RteFte N",,,
,,,,"3.5% RteFte IT",,,
,,,,"2.5% RteFte C IMMO",,,
,,,,"3.5% RteFte NR",,,
,,,,"11% RteFte C L E",,,
,,,,"1.5% RteFte A",,,
,,,,"3.5% RteFte T",,,
,,,,"1% RteFte T E S",,,
,,,,"11% RteFte F L E",,,
,,,,"2% RteFte H",,,
,,,,"3.5% RteFte H R",,,
,,,,"0% RteICA",,,
,,,,"0.69% RteICA",,,
,,,,"1.104% RteICA",,,
,,,,"0.414% RteICA",,,
,,,,"1.38% RteICA",,,
,,,,"0.966% RteICA",,,
,,,,"19% RC",,,
,,,,"19% RS",,,
,,,,"5% RS",,,
,,,,"5% RC",,,
,,,,"5%",,,
,,,,"16% D",,,
,,,,"0% EXEMPT",,,
,,,,"0% E",,,
,,,,"2.5% RteFte",,,
,,,,"3.50% RteFte",,,
,,,,"15% RteVAT 5% C",,,
,,,,"15% RteVAT 19% C",,,
,,,,"0.414% RteICA",,,
,,,,"0.966% RteICA",,,
,,,,"0% C A",,,
"fis_pos_co_vta",3,"False","Ventas (Interno)","19% VAT",,"co_puc_510503","co_puc_520503"
,,,,"19%",,"co_puc_510506","co_puc_520506"
,,,,"5% VAT",,"co_puc_510512","co_puc_520512"
,,,,"16% D",,"co_puc_510515","co_puc_520515"
,,,,"0% IMP VAT",,"co_puc_510518","co_puc_520518"
,,,,"0% EXC VAT",,"co_puc_510521","co_puc_520521"
,,,,"0% EXEMPT",,"co_puc_510524","co_puc_520524"
,,,,"15% RteVAT 19%",,"co_puc_510527","co_puc_520527"
,,,,"15% RteVAT 5%",,"co_puc_510530","co_puc_520530"
,,,,"0.1% RteFte F C",,"co_puc_510533","co_puc_520533"
,,,,"0.5% RteFte C",,"co_puc_510536","co_puc_520536"
,,,,"10% RteFte C N P",,"co_puc_510539","co_puc_520539"
,,,,"2.5% RteFte D",,"co_puc_510542","co_puc_520542"
,,,,"10% RteFte C T T",,"co_puc_510545","co_puc_520545"
,,,,"1% RteFte A Car",,"co_puc_510548","co_puc_520548"
,,,,"1% RteFte IMMO",,"co_puc_510551","co_puc_520551"
,,,,"4% RteFte S L",,"co_puc_510554","co_puc_520554"
,,,,"1% RteFte F T",,"co_puc_510557","co_puc_520557"
,,,,"6% RteFte S G",,"co_puc_510559","co_puc_520559"
,,,,"2% RteFte S C",,"co_puc_510560","co_puc_520560"
,,,,"3.5% RteFte Soft",,"co_puc_510563","co_puc_520563"
,,,,"2% RteFte W C IMMO",,"co_puc_510566","co_puc_520566"
,,,,"4% RteFte L L",,"co_puc_510568","co_puc_520568"
,,,,"3.5% RteFte IMMO L",,"co_puc_510569","co_puc_520569"
,,,,"7% RteFte G F",,"co_puc_510570","co_puc_520570"
,,,,"10% RteFte N",,"co_puc_510572","co_puc_520572"
,,,,"3.5% RteFte IT",,"co_puc_510575","co_puc_520575"
,,,,"2.5% RteFte C IMMO",,"co_puc_510578","co_puc_520578"
,,,,"3.5% RteFte NR",,"co_puc_510581","co_puc_520581"
,,,,"11% RteFte C L E",,"co_puc_510584","co_puc_520584"
,,,,"1.5% RteFte A",,"co_puc_510595","co_puc_520595"
,,,,"3.5% RteFte T",,"co_puc_510599","co_puc_520599"
,,,,"1% RteFte T E S",,,
,,,,"11% RteFte F L E",,,
,,,,"2% RteFte H",,,
,,,,"3.5% RteFte H R",,,
,,,,"0% RteICA",,,
,,,,"0.69% RteICA",,,
,,,,"1.104% RteICA",,,
,,,,"0.414% RteICA",,,
,,,,"1.38% RteICA",,,
,,,,"0.966% RteICA",,,
,,,,"19% RC",,,
,,,,"19% RS",,,
,,,,"5% RS",,,
