id,ei_code,ei_big_contribuitor,name,tax_ids/tax_src_id,tax_ids/tax_dest_id,account_ids/account_src_id,account_ids/account_dest_id
,,,,co_com_tax_rtefte_0_5gt,,,
,,,,co_com_tax_rtefte_0_5lt,,,
,,,,co_com_tax_rtefte_1gt,,,
,,,,co_com_tax_rtefte_1lt,,,
,,,,co_com_tax_rtefte_1_5gt,,,
,,,,co_com_tax_rtefte_1_5lt,,,
,,,,co_com_tax_rtefte_2gt,,,
,,,,co_com_tax_rtefte_2lt,,,
,,,,co_com_tax_rtefte_2_5gt,,,
,,,,co_com_tax_rtefte_2_5lt,,,
,,,,co_com_tax_rtefte_3_5gt,,,
,,,,co_com_tax_rtefte_3_5lt,,,
,,,,co_com_tax_rtefte_4gt,,,
,,,,co_com_tax_rtefte_4lt,,,
,,,,co_com_tax_rtefte_6gt,,,
,,,,co_com_tax_rtefte_6lt,,,
,,,,co_com_tax_rtefte_7gt,,,
,,,,co_com_tax_rtefte_7lt,,,
,,,,co_com_tax_rtefte_10gt,,,
,,,,co_com_tax_rtefte_10lt,,,
,,,,co_com_tax_rtefte_11gt,,,
,,,,co_com_tax_rtefte_11lt,,,
,,,,co_com_tax_rteica_0gt,,,
,,,,co_com_tax_rteica_0lt,,,
,,,,co_com_tax_rteica_0_414gt,,,
,,,,co_com_tax_rteica_0_414lt,,,
,,,,co_com_tax_rteica_0_69gt,,,
,,,,co_com_tax_rteica_0_69lt,,,
,,,,co_com_tax_rteica_0_966gt,,,
,,,,co_com_tax_rteica_0_966lt,,,
,,,,co_com_tax_rteica_1_104gt,,,
,,,,co_com_tax_rteica_1_104lt,,,
,,,,co_com_tax_rteica_1_38gt,,,
,,,,co_com_tax_rteica_1_38lt,,,
fis_pos_co_vta,03,False,Ventas (Interno),co_com_tax_iva_19gt,,co_com_puc_510503,co_com_puc_520503
,,,,co_com_tax_iva_19lt,,co_com_puc_510506,co_com_puc_520506
,,,,co_com_tax_iva_5gt,,co_com_puc_510512,co_com_puc_520512
,,,,co_com_tax_iva_5lt,,co_com_puc_510515,co_com_puc_520515
,,,,co_com_tax_iva_16gt,,co_com_puc_510518,co_com_puc_520518
,,,,co_com_tax_iva_16lt,,co_com_puc_510521,co_com_puc_520521
,,,,co_com_tax_exc_0gt,,co_com_puc_510524,co_com_puc_520524
,,,,co_com_tax_exc_0lt,,co_com_puc_510527,co_com_puc_520527
,,,,co_com_tax_exm_0gt,,co_com_puc_510530,co_com_puc_520530
,,,,co_com_tax_exm_0lt,,co_com_puc_510533,co_com_puc_520533
,,,,co_com_tax_rteiva_0_75gt,,co_com_puc_510536,co_com_puc_520536
