"id","code","name","group_id:id","reconcile","account_type","tag_ids:name"
"7_co_com_puc_171020","171020","Utiles Y Papelería","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171024","171024","Mejoras A Propiedades Ajenas","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171028","171028","Contribuciones Y Afiliaciones","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171032","171032","Entrenamiento De Personal","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171036","171036","Ferias Y Exposiciones","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171040","171040","Licencias","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171044","171044"," Propaganda and Promotion","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171048","171048","Elementos De Aseo Y Cafetería","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171052","171052","Moldes Y Troqueles","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171056","171056","Instrumental Quirúrgico","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171060","171060","Dotación Y Suministro A Trabajadores","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171064","171064","Elementos De Ropería Y Lencería","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171068","171068","Loza Y Cristalería","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171069","171069","Platería","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171070","171070","Cubiertería","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171072","171072","Descuento En Colocación De Bonos","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171076","171076","Impuesto De Renta Diferido ?Débitos? Por Diferencias Temporales","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171080","171080","Concursos Y Licitaciones","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171095","171095","Otros Cargos Diferidos","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171099","171099","Deterioro Cargos Diferidos","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171500","171500","Costos De Exploración Por Amortizar",,0,"off_balance",
"7_co_com_puc_171505","171505","Pozos Secos","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171510","171510","Pozos No Comerciales","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171515","171515","Otros Costos De Exploración","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171595","171595","Otros Costos De Exploración Por Amortizar","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_171599","171599","Deterioro Costos De Exploración Por Amortizar","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_172000","172000","Costos De Explotación Y Desarrollo",,0,"off_balance",
"7_co_com_puc_172005","172005","Perforación Y Explotación","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_172010","172010","Perforaciones Campos En Desarrollo","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_172015","172015","Facilidades De Producción","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_172020","172020","Servicio A Pozos","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_172095","172095","Otros Costos De Explotación Y Desarrollo","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
