name
Co Niif Financiero Root
Activo
Efectivo Y Equivalentes Al Efectivo
Caja
Efectivo
Cheques
Depósitos Por Primas Recaudadas
Caja Menor
Otros Caja
Banco De La República
Cuenta Corriente Bancaria
Certificados De Cambio Propios
Certificados De Cambio En Administración
Depósitos De Contracción Monetaria
Otros Banco De La República
Bancos Y Otras Entidades Financieras
Bancos Nacionales
Bancos Del Exterior
Corresponsales
Sucursales En El Extranjero
Depósitos Por Primas Recaudadas
Otras Entidades Financieras
Canje
Canje
Otros Canje
Administración De Liquidez 
Administración De Liquidez 
Canje
Remesas En Tránsito
Cheques País
Cheques Sobre El Exterior
Otras Remesas En Tránsito
Fondos En Transito
Fondos En Transito
Otros Fondos En Transito
Fondos Especiales
Fondos Especiales
Fondos Especiales
Efectivo Restringido
Efectivo Restringido
Otro Efectivo Restringido
Otras Operaciones Equivalentes A Efectivo
Operaciones Monetarias
Inversiones
Participación En Fondos A La Vista
Otros
Operaciones Del Mercado Monetario Y Relacionadas
Fondos Interasociados Activos
Compañías De Seguros Generales
Compañías De Seguros De Vida
Sociedades De Reaseguros
Sociedades De Capitalización
Otros Fondos Interasociados Activos
Fondos Interbancarios Vendidos Ordinarios
Bancos
Corporaciones Financieras
Compañías De Financiamiento 
Banco De La República
Tesorería General De La Nación
Entidades Del Sector Público
Residentes Del Exterior
Otras Entidades Financieras
Operaciones De Reporto O Repo
Compromisos De Transferencia En Operaciones De Repo Abierto
Compromisos De Transferencia En Operaciones De Repo Cerrado
Cupones Por Recibir De Valores En Operaciones Repo
Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones Repo 
Llamado Al Margen Entregado En Dinero En Operaciones Repo
Otras Operaciones De Reporto O Repo
Operaciones Simultáneas
Compromisos De Transferencia De Inversiones En Operaciones Simultáneas
Cupones Por Recibir De Valores En Operaciones Simultáneas
Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones Simultáneas
Llamado Al Margen Entregado En Dinero En Operaciones Simultáneas
Otras Operaciones Simultáneas
Operaciones De Transferencia Temporal De Valores
Compromisos Originados En Operaciones De Transferencia Temporal De Valores
Rendimientos Por Cobrar De Compromisos En Operaciones De Transferencia Temporal De Valores
Cupones Por Recibir De Valores En Operaciones De Transferencia Temporal De Valores
Cuentas Por Cobrar Por Incumplimiento O Terminación Anticipada En Operaciones De Transferencia Temporal De Valores
Llamado Al Margen En Operaciones De Transferencia Temporal De Valores
Otras Operaciones De Transferencia Temporal De Valores
Derechos De Recompra De Cartera Negociada
Derechos De Recompra De Cartera Negociada
Otros Derechos De Recompra De Cartera Negociada
Inversiones Y Operaciones Con Derivados
Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda
Títulos De Tesorería –Tes
Otros Títulos Emitidos Por El Gobierno Nacional
Otros Emisores Nacionales
Emisores Extranjeros
Otros Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos Representativos De Deuda
Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio
Emisores Nacionales
Emisores Extranjeros
Otras Inversiones A Valor Razonable Con Cambios En Resultados - Instrumentos De Patrimonio
Inversiones A Costo Amortizado
Títulos De Tesorería - Tes
Otros Títulos Emitidos Por El Gobierno Nacional
Otros Emisores Nacionales
Emisores Extranjeros
Otros Inversiones A Costo Amortizado
Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen
Emisores Nacionales
Emisores Extranjeros
Otros Instrumentos De Patrimonio A Valor Razonable Con Cambios En El Origen
Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia)
Títulos De Tesorería –Tes
Otros Títulos Emitidos Por El Gobierno Nacional
Otros Emisores Nacionales
Emisores Extranjeros
Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos Representativos De Deuda (Derechos De Transferencia)
Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia)
Emisores Nacionales
Emisores Extranjeros
Otras Inversiones A Valor Razonable Con Cambios En Resultados Entregados En Operaciones De Mercado Monetario - Instrumentos De Patrimonio (Derechos De Transferencia)
Equipo De Computación (Restituido)
Títulos De Tesorería –Tes
Otros Títulos Emitidos Por El Gobierno Nacional
Otros Emisores Nacionales
