"id","name","applicability","country_id/id"
"aat_1001_5028_R","1001:5028:R","accounts","base.co"
"aat_1001_5029_M","1001:5029:M","accounts","base.co"
"aat_1001_5029_N","1001:5029:N","accounts","base.co"
"aat_1001_5029_O","1001:5029:O","accounts","base.co"
"aat_1001_5029_P","1001:5029:P","accounts","base.co"
"aat_1001_5029_Q","1001:5029:Q","accounts","base.co"
"aat_1001_5029_R","1001:5029:R","accounts","base.co"
"aat_1001_5030_M","1001:5030:M","accounts","base.co"
"aat_1001_5030_N","1001:5030:N","accounts","base.co"
"aat_1001_5030_O","1001:5030:O","accounts","base.co"
"aat_1001_5030_P","1001:5030:P","accounts","base.co"
"aat_1001_5030_Q","1001:5030:Q","accounts","base.co"
"aat_1001_5030_R","1001:5030:R","accounts","base.co"
"aat_1001_5031_M","1001:5031:M","accounts","base.co"
"aat_1001_5031_N","1001:5031:N","accounts","base.co"
"aat_1001_5031_O","1001:5031:O","accounts","base.co"
"aat_1001_5031_P","1001:5031:P","accounts","base.co"
"aat_1001_5031_Q","1001:5031:Q","accounts","base.co"
"aat_1001_5031_R","1001:5031:R","accounts","base.co"
"aat_1001_5032_M","1001:5032:M","accounts","base.co"
"aat_1001_5032_N","1001:5032:N","accounts","base.co"
"aat_1001_5032_O","1001:5032:O","accounts","base.co"
"aat_1001_5032_P","1001:5032:P","accounts","base.co"
"aat_1001_5032_Q","1001:5032:Q","accounts","base.co"
"aat_1001_5032_R","1001:5032:R","accounts","base.co"
"aat_1001_5033_M","1001:5033:M","accounts","base.co"
"aat_1001_5033_N","1001:5033:N","accounts","base.co"
"aat_1001_5033_O","1001:5033:O","accounts","base.co"
"aat_1001_5033_P","1001:5033:P","accounts","base.co"
"aat_1001_5033_Q","1001:5033:Q","accounts","base.co"
"aat_1001_5033_R","1001:5033:R","accounts","base.co"
"aat_1001_5034_M","1001:5034:M","accounts","base.co"
"aat_1001_5034_N","1001:5034:N","accounts","base.co"
"aat_1001_5034_Q","1001:5034:Q","accounts","base.co"
"aat_1001_5034_R","1001:5034:R","accounts","base.co"
"aat_1001_5035_M","1001:5035:M","accounts","base.co"
"aat_1001_5035_N","1001:5035:N","accounts","base.co"
"aat_1001_5035_Q","1001:5035:Q","accounts","base.co"
"aat_1001_5035_R","1001:5035:R","accounts","base.co"
"aat_1001_5043_M","1001:5043:M","accounts","base.co"
"aat_1001_5043_N","1001:5043:N","accounts","base.co"
"aat_1001_5043_O","1001:5043:O","accounts","base.co"
"aat_1001_5043_R","1001:5043:R","accounts","base.co"
"aat_1001_5044_M","1001:5044:M","accounts","base.co"
"aat_1001_5044_N","1001:5044:N","accounts","base.co"
"aat_1001_5044_Q","1001:5044:Q","accounts","base.co"
"aat_1001_5044_R","1001:5044:R","accounts","base.co"
"aat_1001_5045_M","1001:5045:M","accounts","base.co"
"aat_1001_5045_N","1001:5045:N","accounts","base.co"
"aat_1001_5045_Q","1001:5045:Q","accounts","base.co"
"aat_1001_5045_R","1001:5045:R","accounts","base.co"
"aat_1001_5046_M","1001:5046:M","accounts","base.co"
"aat_1001_5046_N","1001:5046:N","accounts","base.co"
"aat_1001_5046_Q","1001:5046:Q","accounts","base.co"
"aat_1001_5046_R","1001:5046:R","accounts","base.co"
"aat_1001_5047_M","1001:5047:M","accounts","base.co"
"aat_1001_5047_N","1001:5047:N","accounts","base.co"
"aat_1001_5047_Q","1001:5047:Q","accounts","base.co"
"aat_1001_5047_R","1001:5047:R","accounts","base.co"
"aat_1001_5048_M","1001:5048:M","accounts","base.co"
"aat_1001_5048_N","1001:5048:N","accounts","base.co"
"aat_1001_5048_Q","1001:5048:Q","accounts","base.co"
"aat_1001_5048_R","1001:5048:R","accounts","base.co"
"aat_1001_5059_M","1001:5059:M","accounts","base.co"
"aat_1001_5059_N","1001:5059:N","accounts","base.co"
"aat_1001_5059_Q","1001:5059:Q","accounts","base.co"
"aat_1001_5059_R","1001:5059:R","accounts","base.co"
"aat_1001_5053_M","1001:5053:M","accounts","base.co"
"aat_1001_5053_N","1001:5053:N","accounts","base.co"
"aat_1001_5053_Q","1001:5053:Q","accounts","base.co"
"aat_1001_5053_R","1001:5053:R","accounts","base.co"
"aat_1001_5054_M","1001:5054:M","accounts","base.co"
"aat_1001_5054_N","1001:5054:N","accounts","base.co"
"aat_1001_5054_Q","1001:5054:Q","accounts","base.co"
"aat_1001_5054_R","1001:5054:R","accounts","base.co"
"aat_1001_5055_M","1001:5055:M","accounts","base.co"
"aat_1001_5055_N","1001:5055:N","accounts","base.co"
"aat_1001_5055_O","1001:5055:O","accounts","base.co"
"aat_1001_5055_P","1001:5055:P","accounts","base.co"
"aat_1001_5055_Q","1001:5055:Q","accounts","base.co"
"aat_1001_5055_R","1001:5055:R","accounts","base.co"
"aat_1001_5056_M","1001:5056:M","accounts","base.co"
"aat_1001_5056_N","1001:5056:N","accounts","base.co"
