id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
puc_com_120570,120570,"Otras Actividades De Servicios Comunitarios, Sociales Y Personales",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120595,120595,Otras Acciones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120599,120599,Deterioro Acciones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1210,1210,Cuotas O Partes De Interés Social,,0,off_balance,chart_template_comercial,
puc_com_121005,121005,"Agricultura, Ganadería, Caza Y Silvicultura",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121010,121010,Pesca,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121015,121015,Explotación De Minas Y Canteras,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121020,121020,Industria Manufacturera,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121025,121025,"Suministro De Electricidad, Gas Y Agua",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121030,121030,Construcción,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121035,121035,Comercio Al Por Mayor Y Al Por Menor,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121040,121040,Hoteles Y Restaurantes,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121045,121045,"Transporte, Almacenamiento Y Comunicaciones",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121050,121050,Actividad Financiera,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121055,121055,"Actividades Inmobiliarias, Empresariales Y De Alquiler",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121060,121060,Enseñanza,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121065,121065,Servicios Sociales Y De Salud,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121070,121070,"Otras Actividades De Servicios Comunitarios, Sociales Y Personales",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121095,121095,Otras Cuotas O Partes,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121099,121099,Deterioro Cuotas O Partes,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1215,1215,Bonos,,0,off_balance,chart_template_comercial,
puc_com_121505,121505,Bonos Públicos Moneda Nacional,group_fin_1_2_fin_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121510,121510,Bonos Públicos Moneda Extranjera,group_fin_1_2_fin_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121515,121515,Bonos Ordinarios,group_fin_1_2_fin_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121520,121520,Bonos Convertibles En Acciones,group_fin_1_2_fin_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121595,121595,Otros Bonos,group_fin_1_2_fin_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_121599,121599,Deterioro Bonos,group_fin_1_2_fin_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1220,1220,Cédulas,,0,off_balance,chart_template_comercial,
puc_com_122005,122005,Cédulas De Capitalización,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122010,122010,Cédulas Hipotecarias,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122015,122015,Cédulas De Inversión,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122095,122095,Otras Cédulas,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122099,122099,Deterioro Cédulas,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1225,1225,Certificados,,0,off_balance,chart_template_comercial,
puc_com_122505,122505,Certificados De Depósito A Término (Cdt),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122510,122510,Certificados De Depósito De Ahorro,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122515,122515,Certificados De Ahorro De Valor Constante (Cavc),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122520,122520,Certificados De Cambio,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122525,122525,Certificados Cafeteros Valorizables,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122530,122530,Certificados Eléctricos Valorizables (Cev),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122535,122535,Certificados De Reembolso Tributario (Cert),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122540,122540,Certificados De Desarrollo Turístico,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122545,122545,Certificados De Inversión Forestal (Cif),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122595,122595,Otros Certificados,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_122599,122599,Deterioro Certificados,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1230,1230,Papeles Comerciales,,0,off_balance,chart_template_comercial,
puc_com_123005,123005,Empresas Comerciales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123010,123010,Empresas Industriales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123015,123015,Empresas De Servicios,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123095,123095,Otros Papeles Comerciales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123099,123099,Deterioro Papeles Comerciales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1235,1235,Títulos,,0,off_balance,chart_template_comercial,
puc_com_123505,123505,Títulos De Desarrollo Agropecuario,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123510,123510,Títulos Canjeables Por Certificados De Cambio,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123515,123515,Títulos De Tesorería (Tes),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123520,123520,Títulos De Participación,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123525,123525,Títulos De Crédito De Fomento,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123530,123530,Títulos Financieros Agroindustriales (Tfa),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123535,123535,Títulos De Ahorro Cafetero (Tac),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123540,123540,Títulos De Ahorro Nacional (Tan),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123545,123545,Títulos Energéticos De Rentabilidad Creciente (Ter),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123550,123550,Títulos De Ahorro Educativo (Tae),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123555,123555,Títulos Financieros Industriales Y Comerciales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123560,123560,Tesoros,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123565,123565,Títulos De Devolución De Impuestos Nacionales (Tidis),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123570,123570,Títulos Inmobiliarios,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123595,123595,Otros Títulos,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_123599,123599,Deterioro Otros Títulos,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1240,1240,Aceptaciones Bancarias O Financieras,,0,off_balance,chart_template_comercial,
puc_com_124005,124005,Bancos Comerciales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_124010,124010,Compañías De Financiamiento Comercial,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_124015,124015,Corporaciones Financieras,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_124095,124095,Otras Aceptaciones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1245,1245,Derechos Fiduciarios,,0,off_balance,chart_template_comercial,
puc_com_124505,124505,Fideicomisos De Inversión Moneda Nacional,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_124510,124510,Fideicomisos De Inversión Moneda Extranjera,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_124595,124595,Otros Derechos Fiduciarios,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_124599,124599,Deterioro Otros Derechos Fiduciarios,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1250,1250,Derechos De Recompra De Inversiones Negociadas (Repos),,0,off_balance,chart_template_comercial,
puc_com_125005,125005,Acciones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125010,125010,Cuotas O Partes De Interés Social,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125015,125015,Bonos,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125020,125020,Cédulas,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125025,125025,Certificados,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125030,125030,Papeles Comerciales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125035,125035,Títulos,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125040,125040,Aceptaciones Bancarias O Financieras,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125095,125095,Otros Derechos De Recompra,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125099,125099,Deterioro Derechos De Recompra,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1255,1255,Obligatorias,,0,off_balance,chart_template_comercial,
puc_com_125505,125505,Bonos De Financiamiento Especial,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125510,125510,Bonos De Financiamiento Presupuestal,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125515,125515,Bonos Para Desarrollo Social Y Seguridad Interna (Bdsi),group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_125595,125595,Otras Obligatorias,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1260,1260,Cuentas En Participación,,0,off_balance,chart_template_comercial,
puc_com_126005,126005,Cuentas En Participación,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
