"id","name","ei_code","ei_big_contribuitor","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
,,,,"l10n_co_tax_18",,,
,,,,"l10n_co_tax_19",,,
,,,,"l10n_co_tax_20",,,
,,,,"l10n_co_tax_21",,,
,,,,"l10n_co_tax_22",,,
,,,,"l10n_co_tax_23",,,
,,,,"l10n_co_tax_24",,,
,,,,"l10n_co_tax_25",,,
,,,,"l10n_co_tax_26",,,
,,,,"l10n_co_tax_27",,,
,,,,"l10n_co_tax_28",,,
,,,,"l10n_co_tax_29",,,
,,,,"l10n_co_tax_30",,,
,,,,"l10n_co_tax_31",,,
,,,,"l10n_co_tax_32",,,
,,,,"l10n_co_tax_33",,,
,,,,"l10n_co_tax_34",,,
,,,,"l10n_co_tax_35",,,
,,,,"l10n_co_tax_36",,,
,,,,"l10n_co_tax_37",,,
,,,,"l10n_co_tax_38",,,
,,,,"l10n_co_tax_39",,,
,,,,"l10n_co_tax_40",,,
,,,,"l10n_co_tax_41",,,
,,,,"l10n_co_tax_42",,,
,,,,"l10n_co_tax_43",,,
,,,,"l10n_co_tax_44",,,
,,,,"l10n_co_tax_45",,,
,,,,"l10n_co_tax_46",,,
,,,,"l10n_co_tax_47",,,
,,,,"l10n_co_tax_48",,,
"fis_pos_co_vta","Sales (Internal)","03","False","l10n_co_tax_8",,"co_puc_510500","co_puc_520500"
,,,,"l10n_co_tax_9",,,
,,,,"l10n_co_tax_4",,,
,,,,"l10n_co_tax_10",,,
,,,,"l10n_co_tax_11",,,
,,,,"l10n_co_tax_55",,,
,,,,"l10n_co_tax_56",,,
,,,,"l10n_co_tax_12",,,
,,,,"l10n_co_tax_13",,,
,,,,"l10n_co_tax_14",,,
,,,,"l10n_co_tax_15",,,
,,,,"l10n_co_tax_16",,,
,,,,"l10n_co_tax_17",,,
,,,,"l10n_co_tax_18",,,
,,,,"l10n_co_tax_19",,,
,,,,"l10n_co_tax_20",,,
,,,,"l10n_co_tax_21",,,
,,,,"l10n_co_tax_22",,,
,,,,"l10n_co_tax_23",,,
,,,,"l10n_co_tax_24",,,
,,,,"l10n_co_tax_25",,,
,,,,"l10n_co_tax_26",,,
,,,,"l10n_co_tax_27",,,
,,,,"l10n_co_tax_28",,,
,,,,"l10n_co_tax_29",,,
,,,,"l10n_co_tax_30",,,
,,,,"l10n_co_tax_31",,,
,,,,"l10n_co_tax_32",,,
,,,,"l10n_co_tax_33",,,
,,,,"l10n_co_tax_34",,,
,,,,"l10n_co_tax_35",,,
,,,,"l10n_co_tax_36",,,
,,,,"l10n_co_tax_37",,,
,,,,"l10n_co_tax_38",,,
,,,,"l10n_co_tax_39",,,
,,,,"l10n_co_tax_40",,,
,,,,"l10n_co_tax_41",,,
,,,,"l10n_co_tax_42",,,
,,,,"l10n_co_tax_43",,,
,,,,"l10n_co_tax_44",,,
,,,,"l10n_co_tax_45",,,
,,,,"l10n_co_tax_46",,,
,,,,"l10n_co_tax_47",,,
,,,,"l10n_co_tax_48",,,
,,,,"co_tax_rteica_0_69gt",,,
,,,,"co_tax_rteica_0_69lt",,,
,,,,"co_tax_rteica_0_966gt",,,
,,,,"co_tax_rteica_0_966lt",,,
,,,,"co_tax_rteica_1_104gt",,,
,,,,"co_tax_rteica_1_104lt",,,
,,,,"co_tax_rteica_1_38gt",,,
,,,,"co_tax_rteica_1_38lt",,,
"fis_pos_co_prd","Production (Internal)","03","False","l10n_co_tax_8",,"co_puc_510500","co_puc_720000"
,,,,"l10n_co_tax_9",,,
,,,,"l10n_co_tax_4",,,
,,,,"l10n_co_tax_10",,,
,,,,"l10n_co_tax_11",,,
,,,,"l10n_co_tax_55",,,
,,,,"l10n_co_tax_56",,,
,,,,"l10n_co_tax_12",,,
,,,,"l10n_co_tax_13",,,
,,,,"l10n_co_tax_14",,,
,,,,"l10n_co_tax_15",,,
,,,,"l10n_co_tax_16",,,
,,,,"l10n_co_tax_17",,,
,,,,"l10n_co_tax_18",,,
,,,,"l10n_co_tax_19",,,
,,,,"l10n_co_tax_20",,,
,,,,"l10n_co_tax_21",,,
,,,,"l10n_co_tax_22",,,
,,,,"l10n_co_tax_23",,,
,,,,"l10n_co_tax_24",,,
,,,,"l10n_co_tax_25",,,
,,,,"l10n_co_tax_26",,,
,,,,"l10n_co_tax_27",,,
,,,,"l10n_co_tax_28",,,
,,,,"l10n_co_tax_29",,,
,,,,"l10n_co_tax_30",,,
,,,,"l10n_co_tax_31",,,
,,,,"l10n_co_tax_32",,,
,,,,"l10n_co_tax_33",,,
,,,,"l10n_co_tax_34",,,
,,,,"l10n_co_tax_35",,,
,,,,"l10n_co_tax_36",,,
,,,,"l10n_co_tax_37",,,
,,,,"l10n_co_tax_38",,,
,,,,"l10n_co_tax_39",,,
,,,,"l10n_co_tax_40",,,
,,,,"l10n_co_tax_41",,,
