id,city_id:l10n_co_edi_code,code,type,name
zip_co_05_0043,5001,50043,urban,050043 - Doce de Octubre No.1- Doce de Octubre No.2- El Triunfo- Mirador del Doce- Picachito- Picacho- Progreso No.2- San Martín de Porres
zip_co_05_0044,5001,50044,urban,050044 - Boyacá- Florencia- Héctor Abad Gómez- Las Brisas- Plaza de Ferias- Santander- Tejelo- Toscana
zip_co_05_0047,5001,50047,rural,050047 - Monteclaro- Pajarito
zip_co_05_0048,5001,50048,rural,050048 - La Aldea- La Esmeralda-  La Frisola-  La Sucia-  La Suiza-  Los Pomos-  Potrera Miserenga
zip_co_05_5030,5002,55030,urban,055030 - Alto de Letras
zip_co_05_5037,5002,55037,rural,055037 - Altamira- Aueres arriba-  Aures Cartagena-  Aures el Silencio-  Cabecera Municipal-  Campo Alegre-  Carrizales-  Colmenas-  Combia-  El Buey-  El Buey Colmenas-  El Cardal-  El Carmelo-  El Caudal-  El Chagualo-  El Churimo-  El Erizo-  El Guaico-  El Hig
zip_co_05_5038,5002,55038,rural,055038 - Cañaveral- Chagualal-  Corinto-  El Granadillo-  El Volcan-  Habana Arriba-  La Betulia-  La Circita-  La Florida-  La Loma Parte Baja-  La Nubia-  La Peña-  La Perdida-  La Primavera-  La Samaria-  LLanogrande-  Loma de don Santos-  Mata de Guadua-  Mont
zip_co_05_7460,5004,57460,urban,057460 - Sin Informacion de Veredas
zip_co_05_7467,5004,57467,rural,057467 - Anocozca- Apucarco-  Cabecera Municipal-  Corcobado-  Cuajaron-  El Canelito-  El Cejen-  El Cerro-  El Churimbo-  Insor-  La Antigua-  La Balsa-  La Nancui-  La Timotea-  La Unión-  Las Azules-  Las Juntas-  Milagrosa Alta-  Monos-  Morotó-  Musinguita-
zip_co_05_3820,5021,53820,urban,053820 - Sin Informacion de Veredas
zip_co_05_3827,5021,53827,rural,053827 - Boqueron- Cabecera Municipal-  Cruces-  El Carbón-  El Cerro-  El Jague-  El Popo-  El Respaldo-  El Rosario-  El Topacio-  Fátima-  Gamas-  La Ceiba-  La Inmaculada-  La Luz-  La Pava-  La Trinidad-  Las Mercedes-  Los Medios-  Los Naranjos-  Piedras-  P
zip_co_05_5840,5030,55840,urban,055840 - Sin Informacion de Veredas
