id,name,description,chart_template_id:id,type_tax_use,amount,sequence,price_include,tax_group_id:id,invoice_repartition_line_ids/id,invoice_repartition_line_ids/repartition_type,invoice_repartition_line_ids/factor_percent,invoice_repartition_line_ids/account_id:id,refund_repartition_line_ids/id,refund_repartition_line_ids/repartition_type,refund_repartition_line_ids/factor_percent,refund_repartition_line_ids/account_id:id
,,,,,,,,,tax_tem_com_tax_aurta_6gt_sl,tax,100,puc_com_135515,tax_tem_com_tax_aurta_6gt_sl_rfnd,tax,100,puc_com_135515
tax_tem_com_impco_4gt,Consumo 4%,Consumo4%,chart_template_comercial,sale,4,16,FALSE,tax_group_ic_02,tax_tem_com_base_impco_4gt,base,,,tax_tem_com_base_impco_4gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_4gt,tax,100,puc_com_519560,tax_tem_com_tax_impco_4gt_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_4lt,Consumo 4%<,Consumo4%,chart_template_comercial,purchase,4,17,FALSE,tax_group_ic_02,tax_tem_com_base_impco_4lt,base,,,tax_tem_com_base_impco_4lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_4lt,tax,100,puc_com_519560,tax_tem_com_tax_impco_4lt_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_4gt_inc,[Consumo 4%],[Consumo4%],chart_template_comercial,sale,4,18,TRUE,tax_group_ic_02,tax_tem_com_base_impco_4gt_inc,base,,,tax_tem_com_base_impco_4gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_4gt_inc,tax,100,puc_com_519560,tax_tem_com_tax_impco_4gt_inc_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_4lt_inc,[Consumo 4%]<,[Consumo4%],chart_template_comercial,purchase,4,19,TRUE,tax_group_ic_02,tax_tem_com_base_impco_4lt_inc,base,,,tax_tem_com_base_impco_4lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_4lt_inc,tax,100,puc_com_519560,tax_tem_com_tax_impco_4lt_inc_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_8gt,Consumo 8%,Consumo8%,chart_template_comercial,sale,8,20,FALSE,tax_group_ic_02,tax_tem_com_base_impco_8gt,base,,,tax_tem_com_base_impco_8gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_8gt,tax,100,puc_com_519560,tax_tem_com_tax_impco_8gt_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_8lt,Consumo 8%<,Consumo8%,chart_template_comercial,purchase,8,21,FALSE,tax_group_ic_02,tax_tem_com_base_impco_8lt,base,,,tax_tem_com_base_impco_8lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_8lt,tax,100,puc_com_519560,tax_tem_com_tax_impco_8lt_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_8gt_inc,[Consumo 8%],[Consumo8%],chart_template_comercial,sale,8,22,TRUE,tax_group_ic_02,tax_tem_com_base_impco_8gt_inc,base,,,tax_tem_com_base_impco_8gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_8gt_inc,tax,100,puc_com_519560,tax_tem_com_tax_impco_8gt_inc_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_8lt_inc,[Consumo 8%]<,[Consumo8%],chart_template_comercial,purchase,8,23,TRUE,tax_group_ic_02,tax_tem_com_base_impco_8lt_inc,base,,,tax_tem_com_base_impco_8lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_8lt_inc,tax,100,puc_com_519560,tax_tem_com_tax_impco_8lt_inc_rfnd,tax,100,puc_com_519560
tax_tem_com_iva_5gt,Iva 5%,Iva5%,chart_template_comercial,sale,5,24,FALSE,tax_group_iva_01,tax_tem_com_base_iva_5gt,base,,,tax_tem_com_base_iva_5gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_5gt,tax,100,puc_com_240805,tax_tem_com_tax_iva_5gt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_8gt,Iva 8%,Iva8%,chart_template_comercial,sale,8,25,FALSE,tax_group_iva_01,tax_tem_com_base_iva_8gt,base,,,tax_tem_com_base_iva_8gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_8gt,tax,100,puc_com_240805,tax_tem_com_tax_iva_8gt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_5lt,Iva 5%<,Iva5%,chart_template_comercial,purchase,5,26,FALSE,tax_group_iva_01,tax_tem_com_base_iva_5lt,base,,,tax_tem_com_base_iva_5lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_5lt,tax,100,puc_com_240805,tax_tem_com_tax_iva_5lt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_8lt,Iva 8%<,Iva8%,chart_template_comercial,purchase,8,27,FALSE,tax_group_iva_01,tax_tem_com_base_iva_8lt,base,,,tax_tem_com_base_iva_8lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_8lt,tax,100,puc_com_240805,tax_tem_com_tax_iva_8lt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_5gt_inc,[Iva 5%],[Iva5%],chart_template_comercial,sale,5,28,TRUE,tax_group_iva_01,tax_tem_com_base_iva_5gt_inc,base,,,tax_tem_com_base_iva_5gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_5gt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_5gt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_8gt_inc,[Iva 8%],[Iva8%],chart_template_comercial,sale,8,29,TRUE,tax_group_iva_01,tax_tem_com_base_iva_8gt_inc,base,,,tax_tem_com_base_iva_8gt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_8gt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_8gt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_5lt_inc,[Iva 5%]<,[Iva5%],chart_template_comercial,purchase,5,30,TRUE,tax_group_iva_01,tax_tem_com_base_iva_5lt_inc,base,,,tax_tem_com_base_iva_5lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_5lt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_5lt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_8lt_inc,[Iva 8%]<,[Iva8%],chart_template_comercial,purchase,8,31,TRUE,tax_group_iva_01,tax_tem_com_base_iva_8lt_inc,base,,,tax_tem_com_base_iva_8lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_8lt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_8lt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_16gt,Iva 16%,Iva16%,chart_template_comercial,sale,16,32,FALSE,tax_group_iva_01,tax_tem_com_base_iva_16gt,base,,,tax_tem_com_base_iva_16gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_16gt,tax,100,puc_com_240805,tax_tem_com_tax_iva_16gt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_16lt,Iva 16%<,Iva16%,chart_template_comercial,purchase,16,33,FALSE,tax_group_iva_01,tax_tem_com_base_iva_16lt,base,,,tax_tem_com_base_iva_16lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_16lt,tax,100,puc_com_240805,tax_tem_com_tax_iva_16lt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_16gt_inc,[Iva 16%],[Iva16%],chart_template_comercial,sale,16,34,TRUE,tax_group_iva_01,tax_tem_com_base_iva_16gt_inc,base,,,tax_tem_com_base_iva_16gt_inc_rfnd,base,,
