"id","name","type","full_name"
"rpi_srv_s90","90 - Actividades Creativas, Artísticas & Entretenimiento","srv","Actividades creativas, artísticas y de entretenimiento"
"rpi_srv_s91","91 - Actividades Bibliotecas, Archivos, Museos & Culturales","srv","Actividades de bibliotecas, archivos, museos y otras actividades culturales"
"rpi_srv_s92","92 - Actividades Juegos Azar y Apuestas","srv","Actividades de juegos de azar y apuestas"
"rpi_srv_s93","93 - Actividades Deportivas & Recreativas","srv","Actividades deportivas y actividades recreativas y de esparcimiento"
"rpi_srv_s94","94 - Actividades Asociaciones","srv","Actividades de asociaciones"
"rpi_srv_s95","95 - Mantenimiento & Reparación de computadores, efectos personales y enseres domésticos","srv","Mantenimiento y reparación de computadores, efectos personales y enseres domésticos"
"rpi_srv_s96","96 - Otras Actividades Servicios Personales","srv","Otras actividades de servicios personales"
"rpi_srv_s97","97 - Actividades Hogares","srv","Actividades de los hogares individuales como empleadores de personal doméstico"
"rpi_srv_s98","98 - Actividades Hogares Autoconsumo","srv","Actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio"
"rpi_srv_s99","99 - Actividades Organizaciones Extraterritoriales","srv","Actividades de organizaciones y entidades extraterritoriales"
