id,invoice_tax_id:id,repartition_type,factor_percent,account_id:id,refund_tax_id:id
tax_tem_com_tax_aurte_19gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_19gt_sl
tax_tem_com_base_aurte_1gt_bs,tax_tem_com_aurte_1gt_bs,base,,,
tax_tem_com_tax_aurte_1gt_bs,tax_tem_com_aurte_1gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_1gt_bs_rfnd,,base,,,tax_tem_com_aurte_1gt_bs
tax_tem_com_tax_aurte_1gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_1gt_bs
tax_tem_com_base_aurte_1gt_sl,tax_tem_com_aurte_1gt_sl,base,,,
tax_tem_com_tax_aurte_1gt_sl,tax_tem_com_aurte_1gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_1gt_sl_rfnd,,base,,,tax_tem_com_aurte_1gt_sl
tax_tem_com_tax_aurte_1gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_1gt_sl
tax_tem_com_base_aurte_2_5gt_bs,tax_tem_com_aurte_2_5gt_bs,base,,,
tax_tem_com_tax_aurte_2_5gt_bs,tax_tem_com_aurte_2_5gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_2_5gt_bs_rfnd,,base,,,tax_tem_com_aurte_2_5gt_bs
tax_tem_com_tax_aurte_2_5gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_2_5gt_bs
tax_tem_com_base_aurte_2_5gt_sl,tax_tem_com_aurte_2_5gt_sl,base,,,
tax_tem_com_tax_aurte_2_5gt_sl,tax_tem_com_aurte_2_5gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_2_5gt_sl_rfnd,,base,,,tax_tem_com_aurte_2_5gt_sl
tax_tem_com_tax_aurte_2_5gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_2_5gt_sl
tax_tem_com_base_aurte_2gt_bs,tax_tem_com_aurte_2gt_bs,base,,,
tax_tem_com_tax_aurte_2gt_bs,tax_tem_com_aurte_2gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_2gt_bs_rfnd,,base,,,tax_tem_com_aurte_2gt_bs
tax_tem_com_tax_aurte_2gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_2gt_bs
tax_tem_com_base_aurte_2gt_sl,tax_tem_com_aurte_2gt_sl,base,,,
tax_tem_com_tax_aurte_2gt_sl,tax_tem_com_aurte_2gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_2gt_sl_rfnd,,base,,,tax_tem_com_aurte_2gt_sl
tax_tem_com_tax_aurte_2gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_2gt_sl
tax_tem_com_base_aurte_3_5gt_bs,tax_tem_com_aurte_3_5gt_bs,base,,,
tax_tem_com_tax_aurte_3_5gt_bs,tax_tem_com_aurte_3_5gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_3_5gt_bs_rfnd,,base,,,tax_tem_com_aurte_3_5gt_bs
tax_tem_com_tax_aurte_3_5gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_3_5gt_bs
tax_tem_com_base_aurte_3_5gt_sl,tax_tem_com_aurte_3_5gt_sl,base,,,
tax_tem_com_tax_aurte_3_5gt_sl,tax_tem_com_aurte_3_5gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_3_5gt_sl_rfnd,,base,,,tax_tem_com_aurte_3_5gt_sl
tax_tem_com_tax_aurte_3_5gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_3_5gt_sl
tax_tem_com_base_aurte_33gt_bs,tax_tem_com_aurte_33gt_bs,base,,,
tax_tem_com_tax_aurte_33gt_bs,tax_tem_com_aurte_33gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_33gt_bs_rfnd,,base,,,tax_tem_com_aurte_33gt_bs
tax_tem_com_tax_aurte_33gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_33gt_bs
tax_tem_com_base_aurte_33gt_sl,tax_tem_com_aurte_33gt_sl,base,,,
tax_tem_com_tax_aurte_33gt_sl,tax_tem_com_aurte_33gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_33gt_sl_rfnd,,base,,,tax_tem_com_aurte_33gt_sl
tax_tem_com_tax_aurte_33gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_33gt_sl
tax_tem_com_base_aurte_3gt_bs,tax_tem_com_aurte_3gt_bs,base,,,
tax_tem_com_tax_aurte_3gt_bs,tax_tem_com_aurte_3gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_3gt_bs_rfnd,,base,,,tax_tem_com_aurte_3gt_bs
tax_tem_com_tax_aurte_3gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_3gt_bs
tax_tem_com_base_aurte_3gt_sl,tax_tem_com_aurte_3gt_sl,base,,,
tax_tem_com_tax_aurte_3gt_sl,tax_tem_com_aurte_3gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_3gt_sl_rfnd,,base,,,tax_tem_com_aurte_3gt_sl
tax_tem_com_tax_aurte_3gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_3gt_sl
tax_tem_com_base_aurte_4gt_bs,tax_tem_com_aurte_4gt_bs,base,,,
tax_tem_com_tax_aurte_4gt_bs,tax_tem_com_aurte_4gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_4gt_bs_rfnd,,base,,,tax_tem_com_aurte_4gt_bs
tax_tem_com_tax_aurte_4gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_4gt_bs
tax_tem_com_base_aurte_4gt_sl,tax_tem_com_aurte_4gt_sl,base,,,
tax_tem_com_tax_aurte_4gt_sl,tax_tem_com_aurte_4gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_4gt_sl_rfnd,,base,,,tax_tem_com_aurte_4gt_sl
tax_tem_com_tax_aurte_4gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_4gt_sl
tax_tem_com_base_aurte_6gt_bs,tax_tem_com_aurte_6gt_bs,base,,,
tax_tem_com_tax_aurte_6gt_bs,tax_tem_com_aurte_6gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_6gt_bs_rfnd,,base,,,tax_tem_com_aurte_6gt_bs
tax_tem_com_tax_aurte_6gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_6gt_bs
tax_tem_com_base_aurte_6gt_sl,tax_tem_com_aurte_6gt_sl,base,,,
tax_tem_com_tax_aurte_6gt_sl,tax_tem_com_aurte_6gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_6gt_sl_rfnd,,base,,,tax_tem_com_aurte_6gt_sl
tax_tem_com_tax_aurte_6gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_6gt_sl
tax_tem_com_base_aurte_7gt_bs,tax_tem_com_aurte_7gt_bs,base,,,
tax_tem_com_tax_aurte_7gt_bs,tax_tem_com_aurte_7gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_7gt_bs_rfnd,,base,,,tax_tem_com_aurte_7gt_bs
tax_tem_com_tax_aurte_7gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_7gt_bs
tax_tem_com_base_aurte_7gt_sl,tax_tem_com_aurte_7gt_sl,base,,,
tax_tem_com_tax_aurte_7gt_sl,tax_tem_com_aurte_7gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_7gt_sl_rfnd,,base,,,tax_tem_com_aurte_7gt_sl
tax_tem_com_tax_aurte_7gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_7gt_sl
tax_tem_com_base_aurva_0_75gt_bs,tax_tem_com_aurva_0_75gt_bs,base,,,
tax_tem_com_tax_aurva_0_75gt_bs,tax_tem_com_aurva_0_75gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_0_75gt_bs_rfnd,,base,,,tax_tem_com_aurva_0_75gt_bs
tax_tem_com_tax_aurva_0_75gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_0_75gt_bs
tax_tem_com_base_aurva_0_75gt_sl,tax_tem_com_aurva_0_75gt_sl,base,,,
